ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	Key
2	MISRA C:2023	21 Standard libraries	Not Applicable	no	21.1 #define and #undef shall not be used on a reserved identifier or reserved macro name.	Category: Required	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		23C653A453A4050134478C183266809113C54C18
1	MISRA C:2023	21 Standard libraries	Not Applicable	no	21.1 #define and #undef shall not be used on a reserved identifier or reserved macro name.	Category: Required	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		234653A453A4050134478C183266809113C54C18
7	MISRA C:2023	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C60DA649A6490A02688E193064CC0144868B1B3262
6	MISRA C:2023	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C60CA649A6490A02688E193064CC0144868B1B316A
10	MISRA C:2023	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C6CDA649A6490A02688E193064CC0144868B1B3264
11	MISRA C:2023	10 The essential type model	Not Applicable	no	10.1 Operands shall not be of an inappropriate essential type.	Category: Required	uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Justified	Low	boolean_T operand is essentially Boolean by Simulink typedef	C60DA649A6490A02688E193064CC0113068B98316A
4	MISRA C:2023	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C64DA649A6490A02688E193064CC0144868B1B3264
9	MISRA C:2023	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C6CCA649A6490A02688E193064CC0144868B1B3164
3	MISRA C:2023	15 Control flow	Not Applicable	no	15.7 All if ... else if constructs shall be terminated with an else statement.	Category: Required	uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Justified	Low	Embedded Coder anti-windup clamp pattern; in-range case needs no action	264C184D924D921404D01D3260C89902264D173772
8	MISRA C:2023	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C64CA649A6490A02688E193064CC0144868B1B316A
5	MISRA C:2023	15 Control flow	Not Applicable	no	15.7 All if ... else if constructs shall be terminated with an else statement.	Category: Required	uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Justified	Low	Embedded Coder Saturate-block pattern; in-range case needs no action	07CCA649A6490A02688E193064CC0113A68B9B3162
29	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		13060DA649A6490A02688E193064CC0123C54D1C
32	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		13264CA649A6490A02688E193064CC0123C54D1C
18	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C973A952A95282801AA3460C193340C8715307
19	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		13860DA649A6490A02688E193064CC0123C54D1C
12	MISRA C:2023	2 Unused code	Not Applicable	no	2.3 A project should not contain unused type declarations.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		13064EA649A6490A02688E193064CC0123C5CC19
33	MISRA C:2023	2 Unused code	Not Applicable	no	2.3 A project should not contain unused type declarations.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		B983A952A95282801AA3460C193340C8713346
25	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		13664EA649A6490A02688E193064CC0123C54D1C
22	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		1366CDA649A6490A02688E193064CC0123C54D1C
15	MISRA C:2023	2 Unused code	Not Applicable	no	2.5 A project should not contain unused macro definitions.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		1386CCA649A6490A02688E193064CC0123C54D1C
14	MISRA C:2023	2 Unused code	Not Applicable	no	2.3 A project should not contain unused type declarations.	Category: Advisory	Not Computed	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\rtwtypes.h	Unreviewed	Unset		C183A952A95282801AA3460C193340C8713346
