ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	Key
138	Global Variable	Not shared	Not Applicable	no	Used non-shared variable	Variable: uav_altitude_hold_U	_init_globals()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		2386D1366FC48563F5AE9BB968C2C92B46EB9DB072D28513C6AC8C9A
143	Global Variable	Not shared	Not Applicable	no	Used non-shared variable	Variable: uav_altitude_hold_Y	_init_globals()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		23E6D1366FC48563F5AE9BB968C2C92B46EB9DB072D28513C6AC8C9A
145	Global Variable	Not shared	Not Applicable	no	Used non-shared variable	Variable: uav_altitude_hold_DW	_init_globals()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		2326D1366FC48563F5AE9BB968C2C92B46EB9DB072D28513C6AC8C99
122	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		3160D47294CA8C99
137	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B319C25B24386
129	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1C339C25B233A6
115	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		9B339C25B233A6
133	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		99389C25B27346
121	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		3160E07294CA8C9B
130	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		99389C25B24346
131	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B339C25B27346
126	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		9B349C25B223E6
117	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		3162C07294CACC1A
128	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B309C25B23346
125	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B339C25B22327
124	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		9B389C25B22307
132	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B349C25B23327
135	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B309C25B27346
114	Run-time Check	Data flow	Green	no	Non-initialized variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		1B329C25B23306
116	Run-time Check	Data flow	Green	no	Non-initialized local variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		3160D87294CA131A
123	Run-time Check	Data flow	Green	no	Non-initialized local variable		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		3764394A65890D9C
120	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		37663DB264890D9A
111	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		62C0A9F4CA91263568
112	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		62C0A9F4CA9126346C
113	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		33703DB264894D18
119	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		37663DB264894C99
136	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		37643DB264890D9B
127	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		37643DB26489CD9A
118	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		37643DB264898D1C
134	Run-time Check	Numerical	Green	no	Overflow		uav_altitude_hold_step()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		62C0A9F4CA91263664
37	Run-time Check	Other	Green	no	Invalid use of standard library routine		uav_altitude_hold_initialize()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		892386D42A44BE314A2427
38	Run-time Check	Other	Green	no	Invalid use of standard library routine		uav_altitude_hold_initialize()	C:\Users\sebahattin.babur\Desktop\Webinar Projesi\uav-altitude-hold-do178c-agentic-verification\scripts\uav_altitude_hold_ert_rtw\uav_altitude_hold.c	Unreviewed	Unset		892307D42A44BE314A2407
